catchment_id,month_01_Oct_ha,month_01_Oct_cat,month_02_Nov_ha,month_02_Nov_cat,month_03_Dec_ha,month_03_Dec_cat,month_04_Jan_ha,month_04_Jan_cat,month_05_Feb_ha,month_05_Feb_cat,month_06_Mar_ha,month_06_Mar_cat,month_07_Apr_ha,month_07_Apr_cat,month_08_May_ha,month_08_May_cat,month_09_Jun_ha,month_09_Jun_cat,month_10_Jul_ha,month_10_Jul_cat,month_11_Aug_ha,month_11_Aug_cat,month_12_Sep_ha,month_12_Sep_cat,min_1day_ha,min_1day_cat,max_1day_ha,max_1day_cat,min_3day_ha,min_3day_cat,max_3day_ha,max_3day_cat,min_7day_ha,min_7day_cat,max_7day_ha,max_7day_cat,min_30day_ha,min_30day_cat,max_30day_ha,max_30day_cat,min_90day_ha,min_90day_cat,max_90day_ha,max_90day_cat,base_flow_index_ha,base_flow_index_cat,doy_min_ha,doy_min_cat,doy_max_ha,doy_max_cat,low_pulse_count_ha,low_pulse_count_cat,low_pulse_duration_mean_ha,low_pulse_duration_mean_cat,high_pulse_count_ha,high_pulse_count_cat,high_pulse_duration_mean_ha,high_pulse_duration_mean_cat,mean_rise_rate_ha,mean_rise_rate_cat,mean_fall_rate_ha,mean_fall_rate_cat,number_of_reversals_ha,number_of_reversals_cat
60012,0.2,low alteration,-0.4667,moderate departure,-0.6,moderate departure,0.1333,low alteration,-0.2667,low alteration,0.0,low alteration,-0.1333,low alteration,0.2,low alteration,-0.4667,moderate departure,-0.6667,moderate departure,-0.1333,low alteration,-0.5333,moderate departure,-0.6,moderate departure,0.0,low alteration,-0.6667,moderate departure,-0.1333,low alteration,-0.5333,moderate departure,-0.5333,moderate departure,-0.6667,moderate departure,0.0,low alteration,-0.8,high departure,0.1333,low alteration,-0.4667,moderate departure,0.4,moderate concentration,0.2,low alteration,0.0,low alteration,-0.8667,high departure,0.2,low alteration,-0.0667,low alteration,0.0667,low alteration,0.2667,low alteration,-0.1333,low alteration
61002,-0.2,low alteration,0.2,low alteration,-0.6,moderate departure,0.0667,low alteration,-0.7333,high departure,-0.1333,low alteration,-0.1333,low alteration,0.0667,low alteration,-0.2,low alteration,-0.6,moderate departure,-0.6667,moderate departure,-0.6,moderate departure,-0.8,high departure,-0.2667,low alteration,-0.8,high departure,-0.2,low alteration,-0.7333,high departure,-0.3333,moderate departure,-0.8,high departure,0.0,low alteration,-0.7333,high departure,0.0,low alteration,-0.7333,high departure,0.4,moderate concentration,0.0,low alteration,-0.2667,low alteration,-0.8667,high departure,0.0,low alteration,-0.0667,low alteration,-0.2667,low alteration,0.1333,low alteration,0.0,low alteration
62001,0.0,low alteration,-0.3333,moderate departure,-0.5333,moderate departure,0.2,low alteration,-0.2,low alteration,-0.2667,low alteration,0.0667,low alteration,0.5333,moderate concentration,-0.3333,moderate departure,-0.6667,moderate departure,-0.4667,moderate departure,-0.6,moderate departure,-0.7333,high departure,-0.0667,low alteration,-0.6667,moderate departure,-0.2,low alteration,-0.6667,moderate departure,-0.1333,low alteration,-0.7333,high departure,0.0,low alteration,-0.6667,moderate departure,0.3333,moderate concentration,-0.6667,moderate departure,0.2,low alteration,0.1333,low alteration,0.2667,low alteration,-0.2667,low alteration,0.0667,low alteration,-0.1333,low alteration,0.2,low alteration,0.0667,low alteration,-0.2,low alteration
63001,-0.0667,low alteration,-0.2,low alteration,-0.6667,moderate departure,0.2,low alteration,-0.1333,low alteration,-0.2,low alteration,-0.0667,low alteration,0.0,low alteration,-0.4667,moderate departure,-0.4667,moderate departure,-0.2,low alteration,-0.2,low alteration,-0.5333,moderate departure,-0.1333,low alteration,-0.4,moderate departure,-0.2667,low alteration,-0.6667,moderate departure,0.0667,low alteration,-0.4667,moderate departure,-0.1333,low alteration,-0.6667,moderate departure,0.0667,low alteration,-0.5333,moderate departure,0.4667,moderate concentration,0.1333,low alteration,0.0667,low alteration,-0.4667,moderate departure,-0.5333,moderate departure,-0.6,moderate departure,0.6667,moderate concentration,0.6,moderate concentration,-0.1333,low alteration
63004,-0.2,low alteration,-0.3333,moderate departure,-0.4667,moderate departure,-0.0667,low alteration,-0.2667,low alteration,0.1333,low alteration,-0.2,low alteration,0.2,low alteration,-0.4667,moderate departure,-0.5333,moderate departure,0.1333,low alteration,-0.2667,low alteration,-0.4,moderate departure,0.3333,moderate concentration,-0.7333,high departure,0.0,low alteration,-0.5333,moderate departure,-0.0667,low alteration,-0.4,moderate departure,-0.0667,low alteration,-0.7333,high departure,0.1333,low alteration,-0.6,moderate departure,0.1333,low alteration,0.0,low alteration,-0.1333,low alteration,-0.2667,low alteration,-0.4,moderate departure,-0.2667,low alteration,-0.0667,low alteration,-0.3333,moderate departure,0.4667,moderate concentration
64001,-0.0667,low alteration,-0.2,low alteration,-0.6667,moderate departure,0.0667,low alteration,-0.2667,low alteration,-0.0667,low alteration,-0.2,low alteration,0.0,low alteration,-0.4667,moderate departure,-0.4667,moderate departure,0.0,low alteration,-0.2667,low alteration,-0.3333,moderate departure,0.2,low alteration,-0.2667,low alteration,-0.0667,low alteration,-0.4,moderate departure,-0.1333,low alteration,-0.4667,moderate departure,-0.0667,low alteration,-0.5333,moderate departure,-0.2667,low alteration,-0.3333,moderate departure,0.6,moderate concentration,-0.0667,low alteration,0.4,moderate concentration,-0.1333,low alteration,0.1333,low alteration,-0.3333,moderate departure,0.3333,moderate concentration,0.2667,low alteration,-0.0667,low alteration
64002,-0.2,low alteration,-0.2,low alteration,-0.3333,moderate departure,-0.0667,low alteration,-0.2,low alteration,0.0,low alteration,-0.1333,low alteration,0.2,low alteration,-0.3333,moderate departure,-0.2667,low alteration,0.0,low alteration,-0.3333,moderate departure,-0.1333,low alteration,-0.0667,low alteration,-0.3333,moderate departure,0.1333,low alteration,-0.3333,moderate departure,-0.1333,low alteration,-0.4667,moderate departure,-0.0667,low alteration,-0.4,moderate departure,-0.2667,low alteration,-0.2667,low alteration,0.4667,moderate concentration,0.0667,low alteration,0.6667,moderate concentration,0.2,low alteration,-0.2,low alteration,-0.4,moderate departure,-0.4,moderate departure,0.0667,low alteration,-0.0667,low alteration
64006,0.0,low alteration,-0.1333,low alteration,-0.2,low alteration,0.0,low alteration,-0.3333,moderate departure,-0.3333,moderate departure,-0.2,low alteration,0.4,moderate concentration,-0.2,low alteration,-0.4,moderate departure,-0.3333,moderate departure,-0.2,low alteration,-0.2667,low alteration,-0.2,low alteration,-0.4,moderate departure,-0.2,low alteration,-0.4,moderate departure,0.0,low alteration,-0.2667,low alteration,-0.2667,low alteration,-0.3333,moderate departure,-0.3333,moderate departure,-0.3333,moderate departure,0.0,low alteration,0.0,low alteration,0.0,low alteration,-0.0667,low alteration,0.0667,low alteration,0.1333,low alteration,-0.3333,moderate departure,0.5333,moderate concentration,0.0667,low alteration
65001,-0.3333,moderate departure,-0.6,moderate departure,-0.3333,moderate departure,-0.2,low alteration,-0.6,moderate departure,-0.2667,low alteration,-0.1333,low alteration,-0.1333,low alteration,-0.4667,moderate departure,-0.2,low alteration,-0.0667,low alteration,-0.4,moderate departure,-0.7333,high departure,-0.5333,moderate departure,-0.7333,high departure,-0.7333,high departure,-0.6667,moderate departure,-0.6,moderate departure,-0.4,moderate departure,-0.4667,moderate departure,-0.3333,moderate departure,-0.4667,moderate departure,-0.7333,high departure,0.0667,low alteration,0.2667,low alteration,0.3333,moderate concentration,-0.2,low alteration,-0.2,low alteration,-0.4667,moderate departure,-0.0667,low alteration,-0.6,moderate departure,-0.0667,low alteration
65004,-0.6,moderate departure,-0.4667,moderate departure,-0.2,low alteration,-0.2,low alteration,-0.7333,high departure,-0.4,moderate departure,0.0,low alteration,0.3333,moderate concentration,-0.4,moderate departure,-0.0667,low alteration,-0.2,low alteration,-0.4667,moderate departure,-0.2667,low alteration,-0.6667,moderate departure,-0.2667,low alteration,-0.7333,high departure,-0.2667,low alteration,-0.6667,moderate departure,-0.5333,moderate departure,-0.2667,low alteration,-0.6,moderate departure,-0.5333,moderate departure,-0.1333,low alteration,0.4667,moderate concentration,0.0,low alteration,0.6,moderate concentration,-0.2,low alteration,-0.1333,low alteration,0.0667,low alteration,-0.8,high departure,-0.3333,moderate departure,0.1333,low alteration
65005,-0.4,moderate departure,-0.4,moderate departure,-0.5333,moderate departure,0.0,low alteration,-0.4667,moderate departure,-0.0667,low alteration,-0.2667,low alteration,0.4,moderate concentration,-0.2667,low alteration,-0.2667,low alteration,-0.6667,moderate departure,-0.4667,moderate departure,-0.5333,moderate departure,-0.2,low alteration,-0.5333,moderate departure,-0.3333,moderate departure,-0.5333,moderate departure,-0.3333,moderate departure,-0.5333,moderate departure,-0.2,low alteration,-0.5333,moderate departure,-0.4,moderate departure,-0.5333,moderate departure,0.5333,moderate concentration,0.0,low alteration,-0.2,low alteration,-0.5333,moderate departure,0.2667,low alteration,0.2,low alteration,-0.4667,moderate departure,-0.3333,moderate departure,-0.1333,low alteration
65006,-0.4,moderate departure,-0.6667,moderate departure,-0.4667,moderate departure,-0.2,low alteration,-0.8,high departure,-0.2667,low alteration,-0.1333,low alteration,-0.3333,moderate departure,-0.4,moderate departure,-0.0667,low alteration,0.0,low alteration,-0.3333,moderate departure,-0.7333,high departure,-0.4667,moderate departure,-0.8,high departure,-0.5333,moderate departure,-0.4667,moderate departure,-0.2667,low alteration,-0.3333,moderate departure,-0.5333,moderate departure,-0.4667,moderate departure,-0.4,moderate departure,-0.4,moderate departure,0.2667,low alteration,-0.2,low alteration,0.2,low alteration,0.1333,low alteration,-0.2,low alteration,-0.3333,moderate departure,-0.4667,moderate departure,-0.1333,low alteration,0.0667,low alteration
65007,-0.4667,moderate departure,-0.4667,moderate departure,-0.4,moderate departure,-0.2667,low alteration,-0.6,moderate departure,-0.4,moderate departure,0.0,low alteration,0.3333,moderate concentration,-0.4667,moderate departure,-0.0667,low alteration,-0.1333,low alteration,-0.3333,moderate departure,-0.4,moderate departure,-0.6667,moderate departure,-0.5333,moderate departure,-0.8667,high departure,-0.5333,moderate departure,-0.8,high departure,-0.4667,moderate departure,-0.6,moderate departure,-0.4667,moderate departure,-0.6,moderate departure,-0.4667,moderate departure,0.2667,low alteration,0.0667,low alteration,0.5333,moderate concentration,-0.3333,moderate departure,0.0,low alteration,-0.4667,moderate departure,-0.3333,moderate departure,-0.4667,moderate departure,0.0667,low alteration
65008,-0.3333,moderate departure,-0.6667,moderate departure,-0.1333,low alteration,-0.4,moderate departure,-0.2667,low alteration,-0.2667,low alteration,0.0,low alteration,-0.3333,moderate departure,-0.5333,moderate departure,-0.2,low alteration,-0.1333,low alteration,-0.3333,moderate departure,0.2667,low alteration,-0.6667,moderate departure,-0.2,low alteration,-0.2667,low alteration,-0.6,moderate departure,-0.3333,moderate departure,-0.3333,moderate departure,-0.4,moderate departure,-0.3333,moderate departure,-0.6,moderate departure,-0.5333,moderate departure,0.0,low alteration,0.0,low alteration,-0.0667,low alteration,-0.1333,low alteration,-0.2667,low alteration,-0.6,moderate departure,0.3333,moderate concentration,-0.2667,low alteration,-0.0667,low alteration
66001,-0.6,moderate departure,-0.2667,low alteration,-0.6,moderate departure,0.3333,moderate concentration,-0.2667,low alteration,-0.2667,low alteration,-0.6,moderate departure,0.0667,low alteration,-0.2667,low alteration,-0.5333,moderate departure,-0.8,high departure,-0.6,moderate departure,-0.6667,moderate departure,-0.4667,moderate departure,-0.6667,moderate departure,-0.5333,moderate departure,-0.6,moderate departure,-0.2667,low alteration,-0.5333,moderate departure,0.0667,low alteration,-0.7333,high departure,-0.5333,moderate departure,-0.6,moderate departure,-0.4,moderate departure,0.2667,low alteration,0.2667,low alteration,-0.6,moderate departure,0.0,low alteration,-0.4,moderate departure,-0.2667,low alteration,-0.4667,moderate departure,-0.2667,low alteration
66004,-0.6667,moderate departure,-0.6667,moderate departure,-0.4667,moderate departure,-0.4667,moderate departure,-0.5333,moderate departure,-0.5333,moderate departure,-0.5333,moderate departure,-0.4667,moderate departure,-0.4667,moderate departure,-0.7333,high departure,-0.9333,high departure,-0.8667,high departure,-1.0,high departure,-0.5333,moderate departure,-1.0,high departure,-0.5333,moderate departure,-1.0,high departure,-0.6,moderate departure,-0.9333,high departure,-0.6667,moderate departure,-0.9333,high departure,-0.6667,moderate departure,-0.9333,high departure,0.0667,low alteration,0.4,moderate concentration,0.2667,low alteration,-0.3333,moderate departure,0.0,low alteration,-0.7333,high departure,-0.7333,high departure,-0.8,high departure,-0.3333,moderate departure
66006,-0.4,moderate departure,0.0667,low alteration,-0.3333,moderate departure,0.3333,moderate concentration,-0.2667,low alteration,-0.2667,low alteration,-0.3333,moderate departure,0.2667,low alteration,-0.0667,low alteration,-0.5333,moderate departure,-0.4667,moderate departure,-0.8667,high departure,-0.6,moderate departure,-0.4667,moderate departure,-0.6,moderate departure,-0.3333,moderate departure,-0.6,moderate departure,-0.3333,moderate departure,-0.6667,moderate departure,-0.2,low alteration,-0.6,moderate departure,-0.1333,low alteration,-0.6,moderate departure,-0.0667,low alteration,-0.1333,low alteration,0.2,low alteration,-0.2,low alteration,-0.0667,low alteration,0.0667,low alteration,-0.2667,low alteration,-0.4667,moderate departure,-0.6667,moderate departure
66011,-0.3333,moderate departure,-0.6,moderate departure,-0.2667,low alteration,-0.2,low alteration,-0.6667,moderate departure,-0.2667,low alteration,-0.1333,low alteration,-0.2667,low alteration,-0.6,moderate departure,-0.2667,low alteration,-0.2667,low alteration,-0.2667,low alteration,-0.8667,high departure,0.2,low alteration,-0.8,high departure,0.2667,low alteration,-0.6667,moderate departure,0.0,low alteration,-0.6667,moderate departure,-0.2667,low alteration,-0.7333,high departure,-0.3333,moderate departure,-0.4,moderate departure,0.3333,moderate concentration,-0.2,low alteration,0.5333,moderate concentration,-0.4,moderate departure,0.0667,low alteration,-0.4,moderate departure,-0.0667,low alteration,-0.4667,moderate departure,-0.1333,low alteration
67001,-0.1333,low alteration,-0.5333,moderate departure,-0.6,moderate departure,0.0667,low alteration,-0.4667,moderate departure,-0.4667,moderate departure,0.0,low alteration,-0.1333,low alteration,-0.0667,low alteration,-0.4667,moderate departure,-0.6667,moderate departure,-0.6667,moderate departure,-0.7333,high departure,-0.2667,low alteration,-0.6667,moderate departure,-0.3333,moderate departure,-0.8,high departure,-0.0667,low alteration,-0.8,high departure,-0.0667,low alteration,-0.8,high departure,-0.0667,low alteration,-0.6,moderate departure,0.2,low alteration,-0.2667,low alteration,-0.6,moderate departure,-0.6667,moderate departure,-0.3333,moderate departure,-0.5333,moderate departure,-0.0667,low alteration,0.2667,low alteration,-0.4667,moderate departure
67005,-0.4,moderate departure,0.0667,low alteration,-0.3333,moderate departure,0.0667,low alteration,-0.1333,low alteration,-0.2,low alteration,-0.4,moderate departure,0.1333,low alteration,-0.0667,low alteration,-0.6667,moderate departure,-0.3333,moderate departure,-0.9333,high departure,-0.6,moderate departure,-0.1333,low alteration,-0.6,moderate departure,-0.2,low alteration,-0.6667,moderate departure,-0.3333,moderate departure,-0.6,moderate departure,-0.2667,low alteration,-0.7333,high departure,0.2,low alteration,-0.4667,moderate departure,-0.2,low alteration,-0.1333,low alteration,0.7333,high concentration,-0.3333,moderate departure,0.1333,low alteration,-0.4667,moderate departure,-0.3333,moderate departure,-0.8,high departure,-0.2667,low alteration
67006,-0.5333,moderate departure,-0.3333,moderate departure,-0.5333,moderate departure,0.2667,low alteration,-0.3333,moderate departure,-0.4,moderate departure,-0.2,low alteration,0.1333,low alteration,-0.5333,moderate departure,-0.8,high departure,-0.8667,high departure,-0.8667,high departure,-0.8667,high departure,-0.3333,moderate departure,-0.8667,high departure,-0.3333,moderate departure,-0.8667,high departure,-0.6667,moderate departure,-0.8,high departure,0.1333,low alteration,-0.8667,high departure,0.0667,low alteration,-0.8667,high departure,-0.4667,moderate departure,0.1333,low alteration,-0.1333,low alteration,-0.8,high departure,-0.1333,low alteration,-0.2667,low alteration,-0.5333,moderate departure,-0.6667,moderate departure,-0.0667,low alteration
67008,-0.8667,high departure,-0.7333,high departure,-0.7333,high departure,-0.2667,low alteration,-0.6667,moderate departure,-0.4667,moderate departure,-0.7333,high departure,-0.8,high departure,-0.9333,high departure,-1.0,high departure,-1.0,high departure,-1.0,high departure,-1.0,high departure,-0.7333,high departure,-1.0,high departure,-0.8667,high departure,-1.0,high departure,-0.6667,moderate departure,-1.0,high departure,-0.7333,high departure,-1.0,high departure,-0.8,high departure,-0.2,low alteration,0.8,high concentration,0.2667,low alteration,-0.1333,low alteration,-0.8667,high departure,-0.3333,moderate departure,-0.6,moderate departure,-0.2667,low alteration,-0.7333,high departure,-0.8,high departure
67010,-0.4,moderate departure,-0.4,moderate departure,-0.3333,moderate departure,-0.1333,low alteration,-0.5333,moderate departure,-0.3333,moderate departure,0.0,low alteration,-0.2,low alteration,-0.5333,moderate departure,-0.3333,moderate departure,-0.3333,moderate departure,-0.7333,high departure,-0.6667,moderate departure,0.2,low alteration,-0.6,moderate departure,0.2,low alteration,-0.6,moderate departure,-0.0667,low alteration,-0.8667,high departure,0.0,low alteration,-0.7333,high departure,-0.0667,low alteration,-0.5333,moderate departure,0.2667,low alteration,-0.1333,low alteration,0.4667,moderate concentration,-0.3333,moderate departure,-0.2667,low alteration,-0.1333,low alteration,-0.5333,moderate departure,-0.4667,moderate departure,-0.4667,moderate departure
67015,-0.4,moderate departure,0.0,low alteration,-0.3333,moderate departure,0.2,low alteration,-0.2,low alteration,-0.4,moderate departure,-0.1333,low alteration,-0.0667,low alteration,-0.2667,low alteration,-0.6667,moderate departure,-0.7333,high departure,-0.8667,high departure,-0.8,high departure,-0.2,low alteration,-0.8,high departure,-0.3333,moderate departure,-0.7333,high departure,-0.1333,low alteration,-0.6,moderate departure,-0.2667,low alteration,-0.8667,high departure,0.1333,low alteration,-0.6667,moderate departure,-0.1333,low alteration,0.1333,low alteration,0.0667,low alteration,-0.8667,high departure,-0.5333,moderate departure,-0.3333,moderate departure,0.0667,low alteration,-0.3333,moderate departure,-0.3333,moderate departure
67018,-0.2,low alteration,-0.4,moderate departure,-0.4667,moderate departure,-0.4,moderate departure,-0.4667,moderate departure,0.0,low alteration,-0.1333,low alteration,-0.1333,low alteration,-0.6,moderate departure,-0.4,moderate departure,-0.2,low alteration,-0.6667,moderate departure,-0.6667,moderate departure,0.4,moderate concentration,-0.8,high departure,0.2667,low alteration,-0.3333,moderate departure,-0.2,low alteration,-0.3333,moderate departure,-0.2,low alteration,-0.5333,moderate departure,-0.2667,low alteration,-0.4667,moderate departure,0.4667,moderate concentration,-0.3333,moderate departure,0.3333,moderate concentration,-0.4,moderate departure,0.0,low alteration,-0.2,low alteration,-0.3333,moderate departure,0.0,low alteration,-0.2,low alteration
67025,-0.4667,moderate departure,-0.4,moderate departure,-0.2667,low alteration,0.1333,low alteration,-0.2,low alteration,-0.4667,moderate departure,0.0667,low alteration,-0.0667,low alteration,-0.4667,moderate departure,-0.6,moderate departure,-0.6,moderate departure,-0.8,high departure,-0.7333,high departure,-0.3333,moderate departure,-0.7333,high departure,-0.4667,moderate departure,-0.7333,high departure,-0.3333,moderate departure,-0.7333,high departure,-0.3333,moderate departure,-0.8667,high departure,-0.4667,moderate departure,-0.6667,moderate departure,-0.3333,moderate departure,-0.0667,low alteration,0.2667,low alteration,-0.4667,moderate departure,-0.2,low alteration,-0.4667,moderate departure,-0.3333,moderate departure,-0.3333,moderate departure,0.1333,low alteration
67033,-0.7333,high departure,-0.6,moderate departure,-0.5333,moderate departure,0.1333,low alteration,-0.0667,low alteration,-0.6,moderate departure,-0.1333,low alteration,0.0667,low alteration,-0.5333,moderate departure,-0.8,high departure,-0.9333,high departure,-0.8667,high departure,-1.0,high departure,-0.3333,moderate departure,-1.0,high departure,-0.3333,moderate departure,-1.0,high departure,-0.2667,low alteration,-0.9333,high departure,-0.1333,low alteration,-0.8667,high departure,-0.4667,moderate departure,-0.9333,high departure,-0.8,high departure,0.4667,moderate concentration,0.5333,moderate concentration,-0.3333,moderate departure,-0.1333,low alteration,-0.4,moderate departure,-0.2,low alteration,-0.7333,high departure,0.0667,low alteration
68001,-0.3333,moderate departure,0.0667,low alteration,-0.1333,low alteration,0.0,low alteration,-0.6667,moderate departure,0.2,low alteration,-0.1333,low alteration,-0.2,low alteration,-0.4,moderate departure,-0.4667,moderate departure,-0.7333,high departure,-0.5333,moderate departure,-0.6667,moderate departure,0.0,low alteration,-0.6667,moderate departure,-0.2,low alteration,-0.6667,moderate departure,-0.0667,low alteration,-0.6,moderate departure,-0.2,low alteration,-0.8667,high departure,-0.4,moderate departure,-0.7333,high departure,-0.4,moderate departure,0.0,low alteration,0.6,moderate concentration,-0.8,high departure,0.2667,low alteration,-0.1333,low alteration,-0.0667,low alteration,-0.4,moderate departure,0.1333,low alteration
68003,-0.2667,low alteration,0.0,low alteration,-0.0667,low alteration,0.1333,low alteration,-0.2667,low alteration,0.2667,low alteration,-0.4,moderate departure,-0.4667,moderate departure,-0.4667,moderate departure,-0.4,moderate departure,-0.6667,moderate departure,-0.5333,moderate departure,-0.8,high departure,-0.2667,low alteration,-0.8,high departure,-0.2,low alteration,-0.7333,high departure,-0.3333,moderate departure,-0.6,moderate departure,-0.2,low alteration,-0.6667,moderate departure,0.0,low alteration,-0.6,moderate departure,-0.0667,low alteration,0.0,low alteration,0.4,moderate concentration,-0.9333,high departure,0.0,low alteration,-0.2667,low alteration,-0.3333,moderate departure,-0.4,moderate departure,-0.1333,low alteration
68004,-0.4,moderate departure,0.0,low alteration,-0.1333,low alteration,0.2667,low alteration,-0.6,moderate departure,0.2,low alteration,-0.0667,low alteration,-0.4667,moderate departure,-0.3333,moderate departure,-0.4,moderate departure,-0.6667,moderate departure,-0.8,high departure,-0.6667,moderate departure,-0.0667,low alteration,-0.6667,moderate departure,-0.1333,low alteration,-0.8,high departure,-0.0667,low alteration,-0.6667,moderate departure,0.0,low alteration,-0.8,high departure,-0.3333,moderate departure,-0.6667,moderate departure,-0.4,moderate departure,0.2667,low alteration,-0.2,low alteration,-0.8,high departure,0.0667,low alteration,-0.3333,moderate departure,-0.4,moderate departure,-0.2667,low alteration,0.1333,low alteration
68005,-0.4,moderate departure,-0.2667,low alteration,-0.4667,moderate departure,0.1333,low alteration,-0.3333,moderate departure,0.0667,low alteration,-0.0667,low alteration,-0.0667,low alteration,-0.4667,moderate departure,-0.6667,moderate departure,-0.6667,moderate departure,-0.7333,high departure,-0.6667,moderate departure,-0.2667,low alteration,-0.6667,moderate departure,-0.3333,moderate departure,-0.7333,high departure,-0.1333,low alteration,-0.7333,high departure,-0.3333,moderate departure,-0.8,high departure,-0.0667,low alteration,-0.6667,moderate departure,-0.2667,low alteration,0.1333,low alteration,0.0667,low alteration,-0.6,moderate departure,0.0,low alteration,-0.3333,moderate departure,-0.2,low alteration,-0.4,moderate departure,0.0,low alteration
68020,-0.4667,moderate departure,-0.2667,low alteration,0.0,low alteration,-0.0667,low alteration,-0.1333,low alteration,-0.3333,moderate departure,-0.2667,low alteration,-0.4,moderate departure,-0.6,moderate departure,-0.6667,moderate departure,-0.8667,high departure,-0.7333,high departure,-0.9333,high departure,-0.5333,moderate departure,-0.9333,high departure,-0.3333,moderate departure,-0.9333,high departure,-0.2667,low alteration,-0.9333,high departure,-0.2,low alteration,-0.9333,high departure,-0.1333,low alteration,-0.8,high departure,-0.6,moderate departure,0.0,low alteration,0.2,low alteration,-0.4667,moderate departure,-0.3333,moderate departure,-0.3333,moderate departure,-0.2,low alteration,-0.2,low alteration,-0.4,moderate departure
69002,0.0,low alteration,-0.2,low alteration,-0.4,moderate departure,-0.1333,low alteration,-0.2667,low alteration,0.1333,low alteration,-0.3333,moderate departure,-0.2,low alteration,-0.6667,moderate departure,-0.1333,low alteration,-0.4,moderate departure,-0.7333,high departure,-0.4,moderate departure,-0.3333,moderate departure,-0.5333,moderate departure,-0.3333,moderate departure,-0.3333,moderate departure,-0.4,moderate departure,-0.6,moderate departure,-0.2,low alteration,-0.6,moderate departure,-0.1333,low alteration,-0.2,low alteration,0.1333,low alteration,0.3333,moderate concentration,0.4,moderate concentration,-0.6667,moderate departure,-0.0667,low alteration,0.0,low alteration,0.0667,low alteration,-0.1333,low alteration,-0.6,moderate departure
69007,-0.3333,moderate departure,-0.2667,low alteration,0.0,low alteration,0.3333,moderate concentration,-0.2,low alteration,0.2667,low alteration,-0.4,moderate departure,-0.2667,low alteration,-0.4,moderate departure,-0.4,moderate departure,-0.9333,high departure,-0.8,high departure,-0.8667,high departure,-0.4667,moderate departure,-0.9333,high departure,-0.3333,moderate departure,-0.9333,high departure,-0.3333,moderate departure,-0.9333,high departure,0.0667,low alteration,-0.8667,high departure,0.2,low alteration,-0.9333,high departure,-0.4,moderate departure,-0.2667,low alteration,0.0,low alteration,-0.8,high departure,0.2667,low alteration,0.0,low alteration,-0.2667,low alteration,-0.4,moderate departure,-0.6,moderate departure
69012,-0.4667,moderate departure,-0.2667,low alteration,0.0,low alteration,-0.0667,low alteration,-0.0667,low alteration,0.4,moderate concentration,-0.4667,moderate departure,-0.5333,moderate departure,-0.1333,low alteration,-0.3333,moderate departure,-0.8667,high departure,-0.6667,moderate departure,-0.7333,high departure,-0.0667,low alteration,-0.7333,high departure,-0.2,low alteration,-0.8,high departure,-0.6,moderate departure,-0.6,moderate departure,0.1333,low alteration,-0.7333,high departure,0.0667,low alteration,-0.5333,moderate departure,-0.1333,low alteration,0.1333,low alteration,-0.4667,moderate departure,-0.6667,moderate departure,0.0667,low alteration,-0.2667,low alteration,-0.4,moderate departure,-0.5333,moderate departure,0.0667,low alteration
69015,-0.7333,high departure,-0.2,low alteration,-0.2,low alteration,0.2,low alteration,-0.2,low alteration,0.1333,low alteration,-0.5333,moderate departure,-0.2667,low alteration,-0.6,moderate departure,-0.7333,high departure,-0.9333,high departure,-0.8667,high departure,-1.0,high departure,-0.3333,moderate departure,-1.0,high departure,-0.3333,moderate departure,-1.0,high departure,0.0667,low alteration,-0.9333,high departure,0.1333,low alteration,-0.9333,high departure,-0.1333,low alteration,-0.9333,high departure,-0.8,high departure,-0.1333,low alteration,0.1333,low alteration,-0.8,high departure,-0.2667,low alteration,-0.7333,high departure,-0.6667,moderate departure,-0.8,high departure,-0.4,moderate departure
69017,-0.5333,moderate departure,-0.2667,low alteration,0.0,low alteration,0.4,moderate concentration,-0.2667,low alteration,0.4,moderate concentration,-0.4667,moderate departure,-0.5333,moderate departure,-0.4,moderate departure,-0.6667,moderate departure,-0.8,high departure,-0.8,high departure,-1.0,high departure,-0.4,moderate departure,-0.9333,high departure,-0.3333,moderate departure,-0.9333,high departure,-0.4,moderate departure,-0.8,high departure,0.2,low alteration,-0.8667,high departure,0.1333,low alteration,-0.7333,high departure,0.0,low alteration,0.2667,low alteration,0.0667,low alteration,-0.8,high departure,-0.1333,low alteration,-0.2,low alteration,-0.2,low alteration,-0.3333,moderate departure,-0.3333,moderate departure
69023,-0.6,moderate departure,-0.3333,moderate departure,0.1333,low alteration,-0.0667,low alteration,-0.3333,moderate departure,0.0667,low alteration,-0.4667,moderate departure,-0.2667,low alteration,-0.6,moderate departure,-0.3333,moderate departure,-0.7333,high departure,-0.8,high departure,-0.8667,high departure,-0.3333,moderate departure,-0.8667,high departure,-0.6,moderate departure,-0.8667,high departure,-0.4667,moderate departure,-0.8667,high departure,-0.2,low alteration,-0.8,high departure,-0.0667,low alteration,-0.8667,high departure,-0.0667,low alteration,-0.2,low alteration,-0.6667,moderate departure,-0.8667,high departure,0.0667,low alteration,0.1333,low alteration,0.2,low alteration,-0.2,low alteration,-0.0667,low alteration
